iter	Precision	Logloss
125	0.5342429053	0.6874524803
126	0.5342768232	0.6874361855
127	0.5344438154	0.6874183851
128	0.5345317864	0.6874050897
129	0.5345758534	0.6873863591
130	0.5346637059	0.6873644069
131	0.5346874363	0.6873463626
132	0.5347634823	0.6873259996
133	0.5348436221	0.6873117311
134	0.5349381686	0.6872948067
135	0.5349863487	0.6872808325
136	0.5350944777	0.6872638153
137	0.5352609538	0.6872454718
138	0.5352330768	0.6872297396
139	0.53527792	0.6872161298
140	0.5353343285	0.6871980702
141	0.5354125298	0.6871817952
142	0.5355043451	0.6871621532
143	0.5354589268	0.6871419867
144	0.5355110745	0.687123796
145	0.5356409727	0.6871085338
146	0.5356362957	0.6870876792
147	0.5357361562	0.6870716813
148	0.5357380444	0.6870445833
149	0.5358115812	0.6870326853
150	0.535933766	0.687013655
151	0.5360244526	0.6869945362
152	0.5360694717	0.686975585
153	0.5360995682	0.6869611269
154	0.5361411797	0.6869500384
155	0.5361629508	0.6869367313
156	0.536293738	0.6869214561
157	0.5363721415	0.6869056222
158	0.5364525861	0.6868780137
159	0.5365068711	0.6868620293
160	0.5365529135	0.6868453145
161	0.5366628709	0.6868317932
162	0.5367472642	0.6868151761
163	0.5368016648	0.6867992304
164	0.5368321061	0.6867816687
165	0.5369154629	0.6867650359
166	0.5369219427	0.6867519772
167	0.5370139236	0.6867333798
168	0.5370796548	0.6867155543
169	0.5370368246	0.6866986546
170	0.5372125216	0.6866737765
171	0.5373099107	0.6866533964
172	0.5374330525	0.6866381202
173	0.5374536819	0.6866221212
174	0.5374291264	0.6866051944
175	0.5375324579	0.6865894949
176	0.5376404323	0.6865717649
177	0.537806707	0.6865537727
178	0.537741583	0.6865435634
179	0.5377889986	0.6865285744
180	0.5378621725	0.6865110235
181	0.538004637	0.6864999642
182	0.5380248493	0.6864773598
183	0.5381210606	0.6864553093
184	0.5381225717	0.6864374787
185	0.538251645	0.6864199779
186	0.5382809982	0.6864045596
187	0.5384461433	0.6863895317
188	0.5384965124	0.6863740354
189	0.5385405335	0.6863578911
190	0.5384973206	0.6863423762
191	0.5385747823	0.6863282125
192	0.5386082631	0.6863146186
193	0.5386996987	0.6862965921
194	0.5387720594	0.6862793924
195	0.5388344316	0.6862641296
196	0.5388643122	0.6862425617
197	0.538980913	0.6862297457
198	0.5391070978	0.6862084382
199	0.539075209	0.6861918261
200	0.5391852589	0.6861762791
201	0.5392016134	0.6861580882
202	0.5392053929	0.6861443626
203	0.5392760154	0.6861353189
204	0.5393193767	0.6861161468
205	0.5393801174	0.6861006309
206	0.5394530747	0.6860839362
207	0.5394831072	0.6860689035
208	0.5395381817	0.6860560683
209	0.5397124805	0.686037685
210	0.5398099411	0.6860223993
211	0.5398596699	0.6860079664
212	0.5399326987	0.6859985533
213	0.5399383417	0.6859861409
214	0.5400337233	0.685973489
215	0.5400753835	0.6859596405
216	0.5400752244	0.6859452266
217	0.5401155803	0.6859323816
218	0.5401045435	0.6859219369
219	0.540258652	0.6859051462
220	0.5402993838	0.6858857458
221	0.540308221	0.6858717616
222	0.5404498695	0.6858540279
223	0.5404687234	0.6858433116
224	0.5404461544	0.6858276123
225	0.5405103864	0.6858108579
226	0.5405920708	0.6857920403
227	0.5406333761	0.6857773145
228	0.5407111149	0.6857593137
229	0.5407671591	0.6857454829
230	0.5407449008	0.6857289149
231	0.5407872946	0.6857142298
232	0.5408332252	0.6857010069
233	0.5409422751	0.6856851819
234	0.5409318998	0.6856725054
235	0.5410393088	0.6856582056
236	0.5411454039	0.6856417717
237	0.5411440486	0.6856252548
238	0.5411635421	0.6856103043
239	0.5412596412	0.6855954316
240	0.5413764331	0.6855799398
241	0.5414189723	0.6855646659
242	0.5413882456	0.68555253
243	0.5413898811	0.6855346894
244	0.5414961652	0.6855230368
245	0.5415221184	0.6855025695
246	0.5416293868	0.6854882563
247	0.541702825	0.6854728717
248	0.5416843376	0.685454424
249	0.5417567594	0.6854413306
250	0.5418297179	0.685427672
251	0.5418986912	0.6854104456
252	0.5419507451	0.6853919413
253	0.5420709017	0.6853803942
254	0.542072402	0.6853660213
255	0.5422284141	0.6853517616
256	0.5423458647	0.6853359872
257	0.5423509369	0.6853208089
